date,open
2021-03-22,158.31
2021-03-19,160.69
2021-03-18,160.21
2021-03-17,160.83
2021-03-16,160.46
2021-03-15,159.75
2021-03-12,159.28
2021-03-11,159.54
2021-03-10,158.82
2021-03-09,156.89
2021-03-08,157.00
2021-03-05,153.98
2021-03-04,155.99
2021-03-03,158.25
2021-03-02,159.78
2021-03-01,161.45
2021-02-26,162.00
2021-02-25,163.13
2021-02-24,162.40
2021-02-23,161.48
2021-02-22,161.87
2021-02-19,165.60
2021-02-18,164.96
2021-02-17,164.97
2021-02-16,166.58
2021-02-12,164.40
2021-02-11,167.00
2021-02-10,167.89
2021-02-09,165.20
2021-02-08,165.03
2021-02-05,164.86
2021-02-04,161.00
2021-02-03,160.94
2021-02-02,163.38
2021-02-01,165.31
2021-01-29,164.26
2021-01-28,168.20
2021-01-27,169.12
2021-01-26,169.70
2021-01-25,165.01
2021-01-22,162.36
2021-01-21,161.32
2021-01-20,163.20
2021-01-19,162.00
2021-01-15,160.30
2021-01-14,160.45
2021-01-13,158.23
2021-01-12,159.15
2021-01-11,160.56
2021-01-08,160.51
2021-01-07,159.00
2021-01-06,157.24
2021-01-05,156.25
2021-01-04,157.24
2020-12-31,156.53
2020-12-30,154.74
2020-12-29,154.11
2020-12-28,153.32
2020-12-24,151.85
2020-12-23,152.80
2020-12-22,152.40
2020-12-21,152.01
2020-12-18,153.65
2020-12-17,150.09
2020-12-16,150.20
2020-12-15,150.00
2020-12-14,153.25
2020-12-11,151.53
2020-12-10,152.82
2020-12-09,152.83
2020-12-08,150.00
2020-12-07,149.35
2020-12-04,149.79
2020-12-03,148.04
2020-12-02,147.85
2020-12-01,146.29
2020-11-30,144.23
2020-11-27,144.50
2020-11-25,144.06
2020-11-24,144.00
2020-11-23,146.01
2020-11-20,147.05
2020-11-19,147.30
2020-11-18,148.87
2020-11-17,150.00
2020-11-16,150.92
2020-11-13,149.09
2020-11-12,147.61
2020-11-11,149.17
2020-11-10,147.25
2020-11-09,148.43
2020-11-06,140.40
2020-11-05,140.55
2020-11-04,139.49
2020-11-03,140.02
2020-11-02,138.98
2020-10-30,136.68
2020-10-29,138.00
2020-10-28,141.43
2020-10-27,143.74
2020-10-26,144.43
2020-10-23,145.88
2020-10-22,144.16
2020-10-21,144.12
2020-10-20,144.66
2020-10-19,148.53
2020-10-16,147.60
2020-10-15,147.48
2020-10-14,148.82
2020-10-13,149.00
2020-10-12,151.60
2020-10-09,149.65
2020-10-08,148.50
2020-10-07,146.49
2020-10-06,148.28
2020-10-05,147.00
2020-10-02,146.21
2020-10-01,149.31
2020-09-30,147.45
2020-09-29,147.60
2020-09-28,146.73
2020-09-25,144.00
2020-09-24,144.56
2020-09-23,147.48
2020-09-22,144.69
2020-09-21,147.58
2020-09-18,146.51
2020-09-17,148.04
2020-09-16,149.39
2020-09-15,149.45
2020-09-14,148.12
2020-09-11,147.05
2020-09-10,149.25
2020-09-09,148.15
2020-09-08,150.25
2020-09-04,150.17
2020-09-03,154.83
2020-09-02,150.79
2020-09-01,153.87
2020-08-31,153.00
2020-08-28,152.74
2020-08-27,152.42
2020-08-26,151.86
2020-08-25,152.78
2020-08-24,152.74
2020-08-21,151.78
2020-08-20,149.75
2020-08-19,149.58
2020-08-18,149.26
2020-08-17,148.32
2020-08-14,147.61
2020-08-13,148.54
2020-08-12,147.54
2020-08-11,149.14
2020-08-10,148.86
2020-08-07,147.51
2020-08-06,148.40
2020-08-05,149.10
2020-08-04,146.99
2020-08-03,146.39
2020-07-31,146.66
2020-07-30,147.44
2020-07-29,146.39
2020-07-28,147.40
2020-07-27,147.37
2020-07-24,150.50
2020-07-23,150.21
2020-07-22,149.93
2020-07-21,149.60
2020-07-20,150.23
2020-07-17,150.00
2020-07-16,148.68
2020-07-15,149.73
2020-07-14,145.32
2020-07-13,143.61
2020-07-10,142.75
2020-07-09,142.76
2020-07-08,142.87
2020-07-07,141.39
2020-07-06,142.17
2020-07-02,141.25
2020-07-01,140.69
2020-06-30,139.40
2020-06-29,138.74
2020-06-26,139.53
2020-06-25,140.57
2020-06-24,141.49
2020-06-23,143.74
2020-06-22,143.47
2020-06-19,145.79
2020-06-18,142.52
2020-06-17,144.90
2020-06-16,144.09
2020-06-15,141.00
2020-06-12,142.84
2020-06-11,148.58
2020-06-10,146.60
2020-06-09,148.25
2020-06-08,145.88
2020-06-05,147.69
2020-06-04,146.80
2020-06-03,148.52
2020-06-02,147.06
2020-06-01,147.29
2020-05-29,147.96
2020-05-28,146.02
2020-05-27,144.32
2020-05-26,146.19
2020-05-22,144.57
2020-05-21,148.50
2020-05-20,149.75
2020-05-19,150.10
2020-05-18,152.49
2020-05-15,147.87
2020-05-14,145.39
2020-05-13,146.08
2020-05-12,150.10
2020-05-11,148.45
2020-05-08,148.92
2020-05-07,149.37
2020-05-06,150.00
2020-05-05,149.00
2020-05-04,148.77
2020-05-01,149.62
2020-04-30,148.46
2020-04-29,151.38
2020-04-28,151.25
2020-04-27,154.81
2020-04-24,155.57
2020-04-23,154.25
2020-04-22,152.81
2020-04-21,150.12
2020-04-20,150.93
2020-04-17,151.99
2020-04-16,148.31
2020-04-15,145.55
2020-04-14,145.42
2020-04-13,140.00
2020-04-09,144.01
2020-04-08,137.75
2020-04-07,139.86
2020-04-06,137.01
2020-04-03,132.38
2020-04-02,129.12
2020-04-01,127.70
2020-03-31,134.99
2020-03-30,128.46
2020-03-27,121.65
2020-03-26,120.57
2020-03-25,118.91
2020-03-24,118.76
2020-03-23,117.00
